tablescraper-selected-row	tablescraper-selected-row 2	tablescraper-selected-row 3	tablescraper-selected-row href
Place Name	Latitude	Longitude	
Jakarta, Indonesia	-6.2	106.816666	https://www.latlong.net/place/jakarta-indonesia-27575.html
Pamekasan, Pamekasan Regency, East Jawa, Indonesia	-7.161367	113.482498	https://www.latlong.net/place/pamekasan-pamekasan-regency-east-jawa-indonesia-25911.html
Banda Aceh, Banda Aceh City, Aceh, Indonesia	5.54829	95.323753	https://www.latlong.net/place/banda-aceh-banda-aceh-city-aceh-indonesia-25259.html
Ambon, Ambon Island, Maluku, Indonesia	-3.654703	128.190643	https://www.latlong.net/place/ambon-ambon-island-maluku-indonesia-25180.html
Palopo, Wara, South Sulawesi, Indonesia	-2.994494	120.195465	https://www.latlong.net/place/palopo-wara-south-sulawesi-indonesia-24526.html
Soreang, Bandung, West Java, Indonesia	-7.025253	107.51976	https://www.latlong.net/place/soreang-bandung-west-java-indonesia-22433.html
Dumai, Dumai Province, Riau, Indonesia	1.694394	101.445007	https://www.latlong.net/place/dumai-dumai-province-riau-indonesia-21872.html
Pematang Siantar City, North Sumatra, Indonesia	2.970042	99.068169	https://www.latlong.net/place/pematang-siantar-city-north-sumatra-indonesia-21657.html
Banjarsari, Surakarta City, Central Java, Indonesia	-7.550676	110.828316	https://www.latlong.net/place/banjarsari-surakarta-city-central-java-indonesia-21648.html
Lhoksukon, Aceh Utara, Aceh, Indonesia	5.051701	97.318123	https://www.latlong.net/place/lhoksukon-aceh-utara-aceh-indonesia-15651.html
Bireuën, Bireuen Regency, Aceh, Indonesia	5.20139	96.702644	https://www.latlong.net/place/bireu-n-bireuen-regency-aceh-indonesia-14827.html
Trenggalek, Trenggalek Regency, East Java, Indonesia	-8.08641	111.713127	https://www.latlong.net/place/trenggalek-trenggalek-regency-east-java-indonesia-13483.html
Ponorogo, Ponorogo Regency, Jawa Timur, Indonesia	-7.866688	111.466614	https://www.latlong.net/place/ponorogo-ponorogo-regency-jawa-timur-indonesia-13482.html
Stabat, Langkat Regency, North Sumatra, Indonesia	3.750531	98.470528	https://www.latlong.net/place/stabat-langkat-regency-north-sumatra-indonesia-12160.html
Pangkal Pinang, Bangka Belitung Islands, Indonesia	-2.133333	106.116669	https://www.latlong.net/place/pangkal-pinang-bangka-belitung-islands-indonesia-12092.html
Makassar City, Indonesia	-5.135399	119.42379	https://www.latlong.net/place/makassar-city-indonesia-11478.html
Banjar Baru City, Banjarbaru City, South Kalimantan, Indonesia	-3.457242	114.810318	https://www.latlong.net/place/banjar-baru-city-banjarbaru-city-south-kalimantan-indonesia-11389.html
Pamulang, South Tangerang City, Banten, Republic of Indonesia	-6.347891	106.741158	https://www.latlong.net/place/pamulang-south-tangerang-city-banten-republic-of-indonesia-11278.html
Jepara City, Jepara Regency, Central Java, Republic of Indonesia	-6.574958	110.670525	https://www.latlong.net/place/jepara-city-jepara-regency-central-java-republic-of-indonesia-11275.html
Manado City, North Sulawesi, Republic of Indonesia	1.47483	124.842079	https://www.latlong.net/place/manado-city-north-sulawesi-republic-of-indonesia-11025.html
Pontianak City, West Kalimantan, Republic of Indonesia	0	109.333336	https://www.latlong.net/place/pontianak-city-west-kalimantan-republic-of-indonesia-10432.html
Tegal City, Central Java, Republic of Indonesia	-6.879704	109.125595	https://www.latlong.net/place/tegal-city-central-java-republic-of-indonesia-10359.html
Cibinong, Bogor, West Java, Indonesia	-6.497641	106.828224	https://www.latlong.net/place/cibinong-bogor-west-java-indonesia-9414.html
Kendari City, South East Sulawesi, Indonesia	-3.972201	122.5149	https://www.latlong.net/place/kendari-city-south-east-sulawesi-indonesia-8632.html
Tangerang, Indonesia	-6.178306	106.631889	https://www.latlong.net/place/tangerang-indonesia-8312.html
Semarang, Indonesia	-6.966667	110.416664	https://www.latlong.net/place/semarang-indonesia-7640.html
Amuntai, Amuntai Tengah, Hulu Sungai Utara, Kalimantan Selatan, Indonesia	-2.423779	115.250832	https://www.latlong.net/place/amuntai-amuntai-tengah-hulu-sungai-utara-kalimantan-selatan-indonesia-7634.html
Batam, Riau Islands, Indonesia	1.045626	104.030457	https://www.latlong.net/place/batam-riau-islands-indonesia-7565.html
Banjarmasin, South Kalimantan, Indonesia	-3.316694	114.590111	https://www.latlong.net/place/banjarmasin-south-kalimantan-indonesia-7504.html
